lines,Mode,name,region,year,lon,lat,url
Orange Line,Light Rail,Belt Line,Dallas TX,2012,-96.9865,32.8882,https://en.wikipedia.org/wiki/Orange_Line_(Dallas_Area_Rapid_Transit)
Orange Line,Light Rail,North Lake College,Dallas TX,2012,-96.9673,32.8753,https://en.wikipedia.org/wiki/Orange_Line_(Dallas_Area_Rapid_Transit)
Orange Line,Light Rail,Irving Convention Center,Dallas TX,2012,-96.9538,32.8822,https://en.wikipedia.org/wiki/Orange_Line_(Dallas_Area_Rapid_Transit)
Orange Line,Light Rail,Las Colinas Urban Center,Dallas TX,2012,-96.9336,32.8688,https://en.wikipedia.org/wiki/Orange_Line_(Dallas_Area_Rapid_Transit)
Orange Line,Light Rail,University of Dallas,Dallas TX,2012,-96.9158,32.8493,https://en.wikipedia.org/wiki/Orange_Line_(Dallas_Area_Rapid_Transit)
Blue Line,Light Rail,Downtown Rowlett,Dallas TX,2012,-96.5643,32.904,https://en.wikipedia.org/wiki/Blue_Line_(Dallas_Area_Rapid_Transit)
Expo Line,Light Rail,Culver City,Los Angeles CA,2012,-118.389,34.0279,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,La Cienega/Jefferson,Los Angeles CA,2012,-118.3715,34.0263,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,Expo/La Brea,Los Angeles CA,2012,-118.3547,34.0248,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,Farmdale,Los Angeles CA,2012,-118.3458,34.0239,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo/Crenshaw Lines,Light Rail,Expo/Crenshaw,Los Angeles CA,2012,-118.3351,34.0226,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,Jefferson,Los Angeles CA,2012,-118.2786,34.0215,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,Expo Park/USC,Los Angeles CA,2012,-118.2858,34.0182,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,Expo/Vermont,Los Angeles CA,2012,-118.2925,34.0183,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Expo Line,Light Rail,Expo/Western,Los Angeles CA,2012,-118.3089,34.0183,https://en.wikipedia.org/wiki/Expo_Line_(Los_Angeles_Metro)
Orange Line,Heavy Rail,Miami International Airport,NA,2012,-80.2584,25.797,https://en.wikipedia.org/wiki/Miami_Intermodal_Center
Orange Line,Bus Rapid Transit,Sherman Way,NA,2012,-118.5971,34.2029,https://en.wikipedia.org/wiki/Orange_Line_(Los_Angeles_Metro)
Orange Line,Bus Rapid Transit,Nordhoff,NA,2012,-118.5973,34.233,https://en.wikipedia.org/wiki/Orange_Line_(Los_Angeles_Metro)
Orange Line,Bus Rapid Transit,Roscoe,NA,2012,-118.5973,34.2196,https://en.wikipedia.org/wiki/Orange_Line_(Los_Angeles_Metro)
Orange Line,Bus Rapid Transit,Chatsworth,NA,2012,-118.599,34.2516,https://en.wikipedia.org/wiki/Orange_Line_(Los_Angeles_Metro)
Blue/Red Lines,Light Rail,South Hills Junction,Pittsburgh PA,2012,-80.0074,40.4207,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,Station Square,Pittsburgh PA,2012,-80.0031,40.4316,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,First Ave,Pittsburgh PA,2012,-79.9967,40.4353,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,Steel Plaza,Pittsburgh PA,2012,-79.995,40.4399,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,Wood Street,Pittsburgh PA,2012,-79.9996,40.4421,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,Gateway,Pittsburgh PA,2012,-80.0039,40.4418,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,North Side,Pittsburgh PA,2012,-80.0096,40.448,https://en.wikipedia.org/wiki/North_Shore_Connector
Blue/Red Lines,Light Rail,Allegheny,Pittsburgh PA,2012,-80.0179,40.4479,https://en.wikipedia.org/wiki/North_Shore_Connector
MAX Green/Yellow Lines,Light Rail,Southwest College,Portland OR,2012,-122.6836,45.5095,https://en.wikipedia.org/wiki/List_of_MAX_Light_Rail_stations
Gold/Green Lines,Light Rail,8th-H-County Center,Sacramento CA,2012,-121.4953,38.583,https://en.wikipedia.org/wiki/Green_Line_(Sacramento_RT)
Green Line,Light Rail,7th-Richards-Township 9,Sacramento CA,2012,-121.4946,38.597,https://en.wikipedia.org/wiki/Green_Line_(Sacramento_RT)
W Line,Light Rail,Decatur-Federal,Denver CO,2013,-105.0244,39.7371,https://en.wikipedia.org/wiki/W_Line_(RTD)
